time,index
1997,0.52895294
1998,1.231183168
1999,1.193911224
2000,1.237479812
2001,1.087537537
2002,1.243434072
2003,0.931957428
2004,0.828978661
2005,0.989087922
2006,0.83559017
2007,0.588014408
2008,0.384792117
2009,0.672762939
2010,1.194776905
2011,1.150963157
2012,0.718164683
2013,0.385886785
2014,0.394901203
2015,0.988429593
2016,1.438897233
2017,1.739914527
2018,1.567072581
